name,url,remote_testing,adaptive,duration,test_types,description,downloads
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,Yes,No,60 minutes,Simulations,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Product fact sheet: https://service.shl.com/docs/Automata Data Science.pdf | Sample Report: https://service.shl.com/docs/Automata Data Science Sample Report.pdf
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,60 minutes,Simulations,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,Product fact sheet: https://service.shl.com/docs/Automata Data Science Pro.pdf | Sample Report: https://service.shl.com/docs/Automata Data Science Pro Sample Report.pdf
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,Yes,No,30 minutes,Simulations,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",Product fact sheet: https://service.shl.com/docs/Automata Frontend.pdf | Sample Report: https://service.shl.com/docs/Automata Front End Sample Detailed Report.pdf
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,Yes,No,60 minutes,Simulations,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",Product fact sheet: https://service.shl.com/docs/Automata Pro.pdf | Sample Report: https://service.shl.com/docs/Automata Pro Sample Report.pdf
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,Yes,No,60 minutes,Simulations,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,Product fact sheet: https://service.shl.com/docs/Automata Selenium (1) (1).pdf | Sample Report: https://service.shl.com/docs/Automata Selenium Sample Report.pdf
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,8 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",Product Fact Sheet: https://service.shl.com/docs/Automation Anywhere RPA Development (New).pdf
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,Yes,No,13 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",Product Fact Sheet: https://service.shl.com/docs/Automotive Engineering (New).pdf | Sample Report: https://service.shl.com/docs/SHL Automotive Engineering (New) Sample Report.pdf
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,Yes,No,6 minutes,Knowledge & Skills,Multi choice test that measures the candidate's basic understanding of Biology.,Product Fact Sheet: https://service.shl.com/docs/Basic Biology (New).pdf
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,30 minutes,"Simulations, Knowledge & Skills","The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.",Product Fact Sheet: https://service.shl.com/docs/Basic Computer Literacy (Windows 10).pdf
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,Yes,No,10 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",Product Fact Sheet: https://service.shl.com/docs/Basic Statistics (New).pdf
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,Yes,No,8 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",Product Fact Sheet: https://service.shl.com/docs/Biochemistry (New).pdf
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,5 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",Product Fact Sheet: https://service.shl.com/docs/Biotech Lab Techniques (New).pdf
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,Yes,No,16 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",Product Fact Sheet: https://service.shl.com/docs/BizTalk (New).pdf
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,24 minutes,Knowledge & Skills,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.",Product Fact Sheet: https://service.shl.com/docs/Fact Sheet_Business Communication (adaptive).pdf
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,Yes,No,35 minutes,Knowledge & Skills,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",Product Fact Sheet: https://service.shl.com/docs/Fact Sheet_Business_Communications.pdf
